fixstep	outer	rms	cg_iter	post_step_rms
0	0	6.429710243368e+00	6	5.054333357297e-01
0	1	5.054333357297e-01	10	2.210023960170e-01
0	2	2.210023960170e-01	11	7.990054022582e-02
0	3	7.990054022582e-02	11	1.563103983516e-02
0	4	1.563103983516e-02	16	9.671778969359e-03
0	5	9.671778969359e-03	16	7.433269362260e-03
