fixstep	outer_last	rms_last	EFz_direct	qsol	dsol_z	phi_rmse_eV	phi_z_rmse_eV	rhob_z_rmse_e_A3	rhoion_z_rmse_e_A3
0	9	7.014303850462e-04	3.551084920285e-04	-9.999999552493e-01	-1.695646411836e+01	5.001873326994e-02	4.990916771866e-02	9.566812384238e-06	2.638749079372e-06
1	2	6.341938495683e-04	5.025638467974e-04	-9.999988841660e-01	-1.681016709152e+01	4.794839428263e-03	3.748849870532e-03	4.770361291928e-06	2.968037867102e-07
2	1	9.349209365299e-04	4.932197430301e-04	-9.999999060765e-01	-1.681831550820e+01	3.014883394952e-03	3.983381456097e-04	1.405619401962e-05	2.374059686730e-07
3	1	4.980324562916e-04	4.932798556299e-04	-9.999999224357e-01	-1.681499135423e+01	3.015692672680e-03	4.063337023565e-04	3.571713381553e-06	1.631286075900e-07
4	1	4.834409295192e-04	4.925154580909e-04	-9.999999539761e-01	-1.681556495051e+01	3.008140104583e-03	3.470573553620e-04	3.038156398267e-06	1.552535594538e-07
