fixstep	outer	rms	cg_iter	cg_rms
0	0	6.429710243368e+00	6	6.142415106072e-01
0	1	5.054333357297e-01	8	1.175253272175e-01
0	2	3.370108742922e-01	8	9.492975865084e-02
0	3	1.766068064330e-01	8	3.007154277463e-02
