iter	offset_eV	phi_rmse_eV	rhob_rmse_raw	rhoion_rmse_raw	rhoion_integral_e
0	-1.186683157468e+00	1.236260481409e+00	2.620047774105e+01	6.823849896346e+00	-9.999999999853e-01
1	-5.980726565984e-01	1.450026596294e+00	4.800268982227e+01	8.888988618875e+00	-1.000000000000e+00
2	-9.359712689038e-01	1.634677213786e+00	6.619000900318e+01	7.007353605087e+00	-1.000000000021e+00
