z_A	valence_CHGCAR_e_A3	dencor_e_A3	phi_hartree_eV	phi_local_eV	phi_sol_no_dipole_eV
2.552083333333e+00	2.626210689435e-06	-3.424747845092e-09	7.244253578025e+01	-7.201795522253e+01	4.245805577157e-01
2.643229166667e+00	3.875116999645e-06	3.510027532458e-09	8.882099259662e+01	-8.838667209303e+01	4.343205035902e-01
2.734375000000e+00	4.465312213949e-06	-3.613529650102e-09	1.053490677917e+02	-1.049048601070e+02	4.442076847395e-01
2.825520833333e+00	5.760583896102e-06	3.704349150317e-09	1.220267602866e+02	-1.215723711882e+02	4.543890983387e-01
2.916666666667e+00	8.737211075552e-06	-3.813018053418e-09	1.388540679981e+02	-1.383893556648e+02	4.647123333505e-01
3.007812500000e+00	1.234293026839e-05	3.925169107211e-09	1.558309866041e+02	-1.553556609160e+02	4.753256880769e-01
3.098958333333e+00	1.600877401565e-05	-4.032523600046e-09	1.729575107716e+02	-1.724714418921e+02	4.860688794920e-01
3.190104166667e+00	2.147340332945e-05	4.170394064690e-09	1.902336347500e+02	-1.897365413787e+02	4.970933712601e-01
3.281250000000e+00	3.028001422648e-05	-4.280901792254e-09	2.076593501159e+02	-2.071511188643e+02	5.082312515663e-01
3.372395833333e+00	4.192900174163e-05	4.436994582781e-09	2.252346437149e+02	-2.247150125975e+02	5.196311174229e-01
3.463541666667e+00	5.657277438174e-05	-4.574780128866e-09	2.429594980351e+02	-2.424283865453e+02	5.311114897781e-01
3.554687500000e+00	7.711023076346e-05	4.724964243958e-09	2.608338906761e+02	-2.602910745632e+02	5.428161128752e-01
3.645833333333e+00	1.065783449762e-04	-4.912229141285e-09	2.788577903681e+02	-2.783032448993e+02	5.545454688202e-01
3.736979166667e+00	1.462663673454e-04	5.065488019087e-09	2.970311526766e+02	-2.964647272775e+02	5.664253991496e-01
3.828125000000e+00	1.989801501967e-04	-5.274787901490e-09	3.153539176115e+02	-3.147756938291e+02	5.782237823555e-01
3.919270833333e+00	2.717053849920e-04	5.486408661030e-09	3.338260050284e+02	-3.332359706884e+02	5.900343400161e-01
4.010416666667e+00	3.728120286420e-04	-5.676439205010e-09	3.524473045343e+02	-3.518457331825e+02	6.015713517640e-01
4.101562500000e+00	5.099570576982e-04	5.980711873824e-09	3.712176632103e+02	-3.706048047173e+02	6.128584929814e-01
4.192708333333e+00	6.943083263825e-04	-6.165990619893e-09	3.901368735264e+02	-3.895133626585e+02	6.235108678740e-01
4.283854166667e+00	9.449263140581e-04	6.537742614969e-09	4.092046559446e+02	-4.085712293187e+02	6.334266259198e-01
4.375000000000e+00	1.287214597840e-03	-6.783062135783e-09	4.284206305214e+02	-4.277785821460e+02	6.420483754753e-01
4.466145833333e+00	1.751854837476e-03	7.192424961250e-09	4.477842789029e+02	-4.471352447296e+02	6.490341732923e-01
4.557291666667e+00	2.381196234219e-03	-7.527448261670e-09	4.672948973606e+02	-4.666413913262e+02	6.535060343184e-01
4.648437500000e+00	3.237378372891e-03	8.059053265822e-09	4.869515320472e+02	-4.862968511606e+02	6.546808866070e-01
4.739583333333e+00	4.406163767952e-03	-8.317091752357e-09	5.067528851774e+02	-5.061017895613e+02	6.510956160718e-01
4.830729166667e+00	6.003985368444e-03	9.462399788580e-09	5.266971852697e+02	-5.260560490542e+02	6.411362155248e-01
4.921875000000e+00	8.195460517497e-03	-8.705553128550e-09	5.467820098690e+02	-5.461597755441e+02	6.222343249320e-01
5.013020833333e+00	1.121348539904e-02	1.264774741599e-08	5.670040354845e+02	-5.664128393995e+02	5.911960849936e-01
5.104166666667e+00	1.537545317581e-02	-6.323938533740e-09	5.873586855721e+02	-5.868153463780e+02	5.433391941261e-01
