fixstep	outer_last	rms_last	EFz_direct	qsol	dsol_z	phi_rmse_eV	phi_z_rmse_eV	rhob_z_rmse_e_A3	rhoion_z_rmse_e_A3
0	9	7.014303850754e-04	3.551084920285e-04	-9.999999552493e-01	-1.695646411836e+01	5.001873327001e-02	4.990916771873e-02	9.566812384249e-06	2.638749079382e-06
1	2	6.341938498632e-04	5.025638468617e-04	-9.999988841660e-01	-1.681016709146e+01	4.794839446509e-03	3.748849893857e-03	4.770361293892e-06	2.968037879530e-07
2	1	9.349209430729e-04	4.932197429946e-04	-9.999999060765e-01	-1.681831550827e+01	3.014883393295e-03	3.983381330146e-04	1.405619403908e-05	2.374059688432e-07
3	1	4.980324616903e-04	4.932798554746e-04	-9.999999224357e-01	-1.681499135432e+01	3.015692669972e-03	4.063336822645e-04	3.571713408825e-06	1.631286072163e-07
4	1	4.834408752430e-04	4.925154581850e-04	-9.999999539761e-01	-1.681556495062e+01	3.008140104861e-03	3.470573577304e-04	3.038156071602e-06	1.552535518095e-07
