iter	offset_eV	EFz_direct	qsol	dsol_z	phi_rmse_eV	phi_z_rmse_eV	rhob_z_rmse_e_A3	rhoion_z_rmse_e_A3	rhoion_integral_e
0	-1.090087660347e+00	3.551084920285e-04	-9.999999999995e-01	1.706019916905e+01	1.248362611353e+00	1.240569701729e+00	2.230294250017e-03	1.023134472988e-03	-9.999999999995e-01
1	2.025853126219e-01	3.436914431078e-04	-1.000000000000e+00	-6.287712123417e+01	3.087756278368e+00	3.086301191527e+00	4.556340434366e-03	1.274003710286e-03	-1.000000000000e+00
2	7.838393943947e-01	3.556324717277e-04	-1.000000000013e+00	1.421674239033e+01	3.876128830782e+00	3.865954401351e+00	5.979625925050e-03	1.036646801963e-03	-1.000000000013e+00
3	1.200864514187e+00	3.442157987799e-04	-1.000000000000e+00	-5.226588094191e+01	3.257590769890e+00	3.250115024911e+00	6.347345483334e-03	1.203905188753e-03	-1.000000000000e+00
