iter	offset_eV	phi_rmse_eV	rhob_rmse_raw	rhoion_rmse_raw	rhoion_integral_e
0	-1.186683157468e+00	1.236260481409e+00	2.620047774105e+01	6.823849896346e+00	-9.999999999853e-01
1	-6.022212261567e-01	3.495111320391e+00	3.634375876749e+01	7.094679278363e+00	-1.000000000000e+00
2	-2.750904685260e-01	5.384639051261e+00	4.396417334814e+01	7.121193773105e+00	-1.000000000000e+00
