fixstep	outer_last	rms_last	EFz_direct	qsol	dsol_z	phi_rmse_eV	phi_z_rmse_eV	rhob_z_rmse_e_A3	rhoion_z_rmse_e_A3
0	9	7.014303850340e-04	3.551084920285e-04	-9.999999552493e-01	-1.695646411836e+01	5.001873326994e-02	4.990916771866e-02	9.566812384278e-06	2.638749079379e-06
1	2	6.341938495704e-04	5.025638467974e-04	-9.999988841661e-01	-1.681016709152e+01	4.794839428505e-03	3.748849870840e-03	4.770361291700e-06	2.968037867029e-07
2	1	9.349209281209e-04	4.932197431609e-04	-9.999999060761e-01	-1.681831550800e+01	3.014883400881e-03	3.983381904638e-04	1.405619400222e-05	2.374059695761e-07
3	1	4.980324484999e-04	4.932798554570e-04	-9.999999224357e-01	-1.681499135435e+01	3.015692676577e-03	4.063337312389e-04	3.571713410340e-06	1.631286071912e-07
4	1	4.834410764586e-04	4.925154577318e-04	-9.999999539761e-01	-1.681556495046e+01	3.008140100626e-03	3.470573211606e-04	3.038157431305e-06	1.552535803518e-07
