fixstep	outer_last	rms_last	EFz_direct	qsol	dsol_z	phi_rmse_eV	phi_z_rmse_eV	rhob_z_rmse_e_A3	rhoion_z_rmse_e_A3
0	3	7.419478308452e-04	3.551084920285e-04	-9.999990675630e-01	-1.695775367604e+01	5.002531292339e-02	4.991568686983e-02	1.065123971795e-05	2.609246192268e-06
1	2	6.254831588723e-04	5.031734514890e-04	-9.999984383859e-01	-1.680942695240e+01	4.970076842808e-03	3.970390737183e-03	4.681895502983e-06	3.016745889274e-07
2	1	9.948308166319e-04	4.931215115164e-04	-9.999999013976e-01	-1.681825180012e+01	3.010149489692e-03	3.600277067226e-04	1.398843594850e-05	2.336663103400e-07
3	1	5.351409753255e-04	4.932108426803e-04	-9.999999196883e-01	-1.681483075470e+01	3.011164353639e-03	3.711405677173e-04	3.663422001054e-06	1.647112605851e-07
4	1	5.135239404536e-04	4.924296533181e-04	-9.999999505977e-01	-1.681547364438e+01	3.004632561569e-03	3.151962752253e-04	3.081442619819e-06	1.587611710509e-07
