fixstep	outer_last	rms_last	EFz_direct	qsol	dsol_z	phi_rmse_eV	phi_z_rmse_eV	rhob_z_rmse_e_A3	rhoion_z_rmse_e_A3
0	3	9.444648880246e-04	3.551084920285e-04	-9.999978339703e-01	-1.695981892443e+01	5.002904603630e-02	4.991966473326e-02	1.038686322164e-05	2.901661230808e-06
1	2	6.092119378842e-04	5.041482082670e-04	-9.999990197726e-01	-1.680842405738e+01	5.259561804173e-03	4.327089433586e-03	4.908418218543e-06	3.430840677194e-07
2	1	8.653785341236e-04	4.930382124405e-04	-9.999999028151e-01	-1.681642556723e+01	3.005587814443e-03	3.194301010834e-04	9.111705116133e-06	9.221674111671e-08
3	1	4.616155044165e-04	4.923244814967e-04	-9.999999344246e-01	-1.681730996581e+01	2.999803519403e-03	2.648073271880e-04	4.971927353517e-06	8.213730582615e-08
4	1	3.017507747814e-04	4.924518324303e-04	-9.999999783084e-01	-1.681797249679e+01	2.997378443284e-03	2.362971262487e-04	2.237948360238e-06	6.847208491849e-08
