# units: z_A in Angstrom; densities in e/A^3; diff = reproduction - DFT
z_A	RHOB_DFT_e_per_A3	RHOB_repro_e_per_A3	RHOB_diff_e_per_A3	RHOION_DFT_e_per_A3	RHOION_repro_e_per_A3	RHOION_diff_e_per_A3
0.000000000000	5.8097719158554729e-11	5.8097849858879270e-11	1.3070032454027501e-16	-5.7716286527483799e-20	-2.0168893008633692e-20	3.7547393518850110e-20
0.091145833333	-5.5809497587689252e-11	-5.5809625119837083e-11	-1.2753214783095390e-16	-4.3944387571667887e-20	-7.0064854306722109e-21	3.6937902140995679e-20
0.182291666667	5.3537778731401189e-11	5.3537903808071152e-11	1.2507666996325788e-16	-2.8880058891547315e-20	4.9067313642382845e-21	3.3786790255785598e-20
0.273437500000	-5.1281800084957234e-11	-5.1281922103925260e-11	-1.2201896802626819e-16	-9.2923446388759864e-20	-5.9420374665477831e-20	3.3503071723282033e-20
0.364583333333	4.9040820443034415e-11	4.9040940117019580e-11	1.1967398516451685e-16	-7.1915244067758058e-20	-3.9462641691991696e-20	3.2452602375766361e-20
0.455729166667	-4.6814127186192652e-11	-4.6814243902586938e-11	-1.1671639428627564e-16	-7.1850681812996666e-20	-3.9416737336548312e-20	3.2433944476448354e-20
0.546875000000	4.4601027149535648e-11	4.4601141648976504e-11	1.1449944085645986e-16	-3.9556819659971859e-20	-8.5604219026654287e-21	3.0996397757306431e-20
0.638020833333	-4.2400846888048996e-11	-4.2400958526675552e-11	-1.1163862655559567e-16	-4.0991700964906255e-20	-1.1985479135115283e-20	2.9006221829790971e-20
0.729166666667	4.0212934096861638e-11	4.0213043553079073e-11	1.0945621743539337e-16	-3.4214441154456165e-20	-5.7333059198664667e-21	2.8481135234589699e-20
0.820312500000	-3.8036655736537986e-11	-3.8036762512436467e-11	-1.0677589848075692e-16	-5.1176544737038926e-20	-2.5134263485019334e-20	2.6042281252019592e-20
0.911458333333	3.5871390783915676e-11	3.5871495382933531e-11	1.0459901785449037e-16	-6.4795034298355467e-20	-4.2085705410797080e-20	2.2709328887558387e-20
1.002604166667	-3.3716541697213304e-11	-3.3716643766044542e-11	-1.0206883123752940e-16	-4.1202564842926009e-20	-2.1244831869473220e-20	1.9957732973452789e-20
1.093750000000	3.1571518679436337e-11	3.1571618632849020e-11	9.9953412683403213e-17	-6.4518423537011371e-20	-4.5832981602959638e-20	1.8685441934051734e-20
