z_A	RHOB_DFT_e_A3	RHOB_step05_e_A3	RHOB_step05_minus_DFT_e_A3	RHOION_DFT_e_A3	RHOION_step05_e_A3	RHOION_step05_minus_DFT_e_A3
3.554687500000e+00	2.449381522027e-11	2.449811802300e-11	4.3028e-15	-9.217912947623e-20	-5.899257568804e-20	3.31866e-20
3.645833333333e+00	-2.656449674321e-11	-2.656868843968e-11	-4.1917e-15	-1.040013519923e-19	-6.982555934359e-20	3.41758e-20
3.736979166667e+00	2.863902935121e-11	2.864311113053e-11	4.08178e-15	-1.202434975867e-19	-8.766658325483e-20	3.25769e-20
3.828125000000e+00	-3.071785233970e-11	-3.072182531302e-11	-3.97297e-15	-6.765702278327e-20	-3.403711707153e-20	3.36199e-20
3.919270833333e+00	3.280141124575e-11	3.280527656827e-11	3.86532e-15	-8.465022286458e-20	-5.078509904756e-20	3.38651e-20
4.010416666667e+00	-3.489015113046e-11	-3.489390986586e-11	-3.75874e-15	-7.875106895078e-20	-4.348963829527e-20	3.52614e-20
4.101562500000e+00	3.698452401426e-11	3.698817732748e-11	3.65331e-15	-9.253829403813e-20	-5.513890504615e-20	3.73994e-20
4.192708333333e+00	-3.908498203330e-11	-3.908853092487e-11	-3.54889e-15	-8.432622696208e-20	-4.795768690756e-20	3.63685e-20
4.283854166667e+00	4.119198757913e-11	4.119543324325e-11	3.44566e-15	-1.103283048833e-19	-7.385707234326e-20	3.64712e-20
4.375000000000e+00	-4.330599943445e-11	-4.330934280322e-11	-3.34337e-15	-1.887350171289e-20	1.822388104366e-20	3.70974e-20
4.466145833333e+00	4.542749226598e-11	4.543073453360e-11	3.24227e-15	-1.530717752842e-20	1.976767413388e-20	3.50749e-20
4.557291666667e+00	-4.755693706384e-11	-4.756007922541e-11	-3.14216e-15	-1.306571227429e-20	2.195820036126e-20	3.50239e-20
4.648437500000e+00	4.969481799198e-11	4.969786109330e-11	3.0431e-15	1.738442365127e-22	3.427056293088e-20	3.40967e-20
4.739583333333e+00	-5.184162163683e-11	-5.184456683691e-11	-2.9452e-15	-3.203664968359e-20	1.545495993731e-21	3.35821e-20
4.830729166667e+00	5.399784602223e-11	5.400069420763e-11	2.84819e-15	-1.188182413882e-20	1.794519718235e-20	2.9827e-20
4.921875000000e+00	-5.616399298517e-11	-5.616674549383e-11	-2.75251e-15	7.321818736984e-21	3.556891579782e-20	2.82471e-20
5.013020833333e+00	5.834057694511e-11	5.834323449082e-11	2.65755e-15	1.696580554658e-20	4.338228133477e-20	2.64165e-20
