z_A	PHI_DFT_e_A3	PHI_step01_e_A3	RHOB_DFT_e_A3	RHOB_step01_e_A3	RHOION_DFT_e_A3	RHOION_step01_e_A3	PHI_step02_e_A3	RHOB_step02_e_A3	RHOION_step02_e_A3	PHI_step03_e_A3	RHOB_step03_e_A3	RHOION_step03_e_A3	PHI_step04_e_A3	RHOB_step04_e_A3	RHOION_step04_e_A3	PHI_step05_e_A3	RHOB_step05_e_A3	RHOION_step05_e_A3
1.822916666667e+00	9.178245029252e-05	3.637507400821e-05	1.469899679396e-11	1.754437804134e-11	-2.764567596496e-20	1.841890051516e-20	6.360706498826e-05	1.631592338792e-11	-2.030453297511e-20	9.179820260929e-05	1.496049112006e-11	7.685307193074e-20	9.171142277718e-05	1.472005067640e-11	5.053802996013e-20	9.174534810037e-05	1.469232992315e-11	2.407846330912e-20
1.914062500000e+00	9.178651301382e-05	3.675680563397e-05	-1.261807466435e-11	-1.555268742299e-11	-8.060212506561e-20	-3.643695235208e-20	6.380379541279e-05	-1.427613999035e-11	-7.722919148845e-20	9.180255574449e-05	-1.287727292288e-11	2.485824503788e-20	9.171595519576e-05	-1.263941528043e-11	-1.623829555150e-21	9.174966889163e-05	-1.261154587978e-11	-2.977845155158e-20
2.005208333333e+00	9.178180369603e-05	3.712976506972e-05	1.054175279420e-11	1.356636177634e-11	-6.837379708218e-20	-2.900799877253e-20	6.399175379867e-05	1.224132933688e-11	-6.838120101055e-20	9.179813684049e-05	1.079874556665e-11	4.012958755334e-20	9.171171557527e-05	1.056338377619e-11	1.257794147780e-20	9.174521764379e-05	1.053536086782e-11	-1.858800623760e-20
2.096354166667e+00	9.178580732900e-05	3.751143727710e-05	-8.469558907446e-12	-1.158494526786e-11	-9.501135416956e-20	-6.116784982311e-20	6.418842513469e-05	-1.021102892868e-11	-1.019554985239e-19	9.180243088736e-05	-8.724432038852e-12	1.212556145857e-20	9.171618890552e-05	-8.491483216824e-12	-1.500717035367e-20	9.174947934672e-05	-8.463301527262e-12	-4.867668238502e-20
2.187500000000e+00	9.178082654058e-05	3.788412491175e-05	6.401022853696e-12	9.607989821167e-12	-4.322798346905e-20	-1.074724616589e-20	6.437611204976e-05	8.184780154467e-12	-5.015791228109e-20	9.179774051272e-05	6.653858813228e-12	6.828657880682e-20	9.171167781439e-05	6.423244379188e-12	4.013684340305e-20	9.174475662825e-05	6.394898930862e-12	4.301386186273e-21
2.278645833333e+00	9.178475488436e-05	3.826572149985e-05	-4.335682389636e-12	-7.635052393763e-12	-3.976102000244e-20	-1.019165538610e-20	6.457270809640e-05	-6.162131582627e-12	-5.163381134878e-20	9.180195927038e-05	-4.586559626760e-12	7.053722493202e-20	9.171607585544e-05	-4.358204559819e-12	4.189409174621e-20	9.174894304197e-05	-4.329689684604e-12	4.531500277842e-21
2.369791666667e+00	9.177911067604e-05	3.863774538412e-05	2.273079258949e-12	5.665699020108e-12	-5.292046600905e-20	-2.768047442796e-20	6.475973159137e-05	4.142637419283e-12	-6.827295557871e-20	9.179660547583e-05	2.522072668275e-12	5.869878781299e-20	9.171090134440e-05	2.295906148569e-12	3.022387187821e-20	9.174355690358e-05	2.267216762644e-12	-9.116753075228e-21
2.460937500000e+00	9.178260835358e-05	3.901891097589e-05	-2.127608954508e-13	-3.699499221551e-12	-7.547786628781e-20	-5.247060332545e-20	6.495589697157e-05	-2.125856967114e-12	-9.452002948742e-20	9.180039356723e-05	-4.599420738789e-13	3.359873047679e-20	9.171486871918e-05	-2.358965023173e-13	5.535917191312e-21	9.174731265104e-05	-2.070264558103e-13	-3.419800443355e-20
2.552083333333e+00	9.177617994020e-05	3.939015032463e-05	-1.845723078110e-12	1.736029217909e-12	-8.803448445209e-20	-6.649171850785e-20	6.514213626130e-05	1.113534406945e-13	-1.070283740392e-19	9.179425556761e-05	-1.600286260775e-12	2.357588465597e-20	9.170891000308e-05	-1.822274480859e-12	-4.093483879551e-21	9.174114230758e-05	-1.851330363837e-12	-4.640189945351e-20
2.643229166667e+00	9.177892064783e-05	3.977055861643e-05	3.902818048221e-12	2.251315333563e-13	-7.831845742011e-20	-5.985439294235e-20	6.533754467142e-05	1.901305651839e-12	-1.011346990324e-19	9.179728668910e-05	3.659060394764e-12	3.043621654193e-20	9.171212040796e-05	3.879051960215e-12	3.592682169196e-21	9.174414108514e-05	3.908300264849e-12	-3.928376278410e-20
