fixstep	outer_last	rms_last	EFz_direct	qsol	dsol_z	phi_rmse_eV	phi_z_rmse_eV	rhob_z_rmse_e_A3	rhoion_z_rmse_e_A3
0	9	7.014303850529e-04	3.551084920285e-04	-9.999999552493e-01	-1.695646411835e+01	5.001873326994e-02	4.990916771866e-02	9.566812384245e-06	2.638749079374e-06
1	2	6.341938501434e-04	5.025638469263e-04	-9.999988841660e-01	-1.681016709139e+01	4.794839464946e-03	3.748849917424e-03	4.770361296187e-06	2.968037892237e-07
2	1	9.349209414196e-04	4.932197430912e-04	-9.999999060765e-01	-1.681831550816e+01	3.014883397635e-03	3.983381657905e-04	1.405619403969e-05	2.374059700029e-07
3	1	4.980324599027e-04	4.932798556066e-04	-9.999999224357e-01	-1.681499135420e+01	3.015692674904e-03	4.063337188079e-04	3.571713401552e-06	1.631286089080e-07
4	1	4.834410307281e-04	4.925154578635e-04	-9.999999539761e-01	-1.681556495042e+01	3.008140101957e-03	3.470573326586e-04	3.038157039544e-06	1.552535736845e-07
