iter	offset_eV	phi_rmse_eV	rhob_rmse_raw	rhoion_rmse_raw	rhoion_integral_e
0	-1.186683157468e+00	1.236260481409e+00	2.620047774105e+01	6.823849896346e+00	-9.999999999853e-01
1	1.200188492664e-01	3.067521461758e+00	5.464989623055e+01	8.957372367463e+00	-1.000000000000e+00
2	7.075530273081e-01	3.821515977891e+00	6.756755968001e+01	7.080008098540e+00	-1.000000000000e+00
3	1.124233726655e+00	3.204722613144e+00	6.715538992469e+01	8.907149615465e+00	-1.000000000001e+00
4	1.253383670020e-01	3.380660802996e+00	7.478114351007e+01	7.097302724047e+00	-1.000000000000e+00
5	1.840562009889e+00	3.767950025205e+00	6.979439417420e+01	8.865839796413e+00	-1.000000000041e+00
6	-3.911702629920e-01	2.932500920361e+00	7.366486364958e+01	7.114243283922e+00	-1.000000000000e+00
7	2.230493009530e+00	4.113326269131e+00	6.811160161155e+01	8.842781934240e+00	-1.000000000000e+00
