iter	offset_eV	EFz_direct	qsol	dsol_z	phi_rmse_eV	phi_z_rmse_eV	rhob_z_rmse_e_A3	rhoion_z_rmse_e_A3	rhoion_integral_e
0	-1.090087660347e+00	3.551084920285e-04	-9.999999999995e-01	1.706019916905e+01	1.248362611353e+00	1.240569701729e+00	2.230294250017e-03	1.023134472988e-03	-9.999999999995e-01
1	-1.243572831763e-01	3.436914431078e-04	-1.000000000000e+00	2.220193847239e+01	5.113866376541e+00	5.103754004020e+00	3.492366682543e-03	1.059389452066e-03	-1.000000000000e+00
2	2.407707274444e-01	3.208409623735e-04	-1.000000000000e+00	2.298653040979e+01	7.634969028434e+00	7.620783647904e+00	4.393871396089e-03	1.056567481431e-03	-1.000000000000e+00
3	3.432150226479e-01	2.979576249137e-04	-9.999999999980e-01	2.285565131960e+01	9.062740866594e+00	9.044020744563e+00	4.943053990131e-03	1.053604832969e-03	-9.999999999980e-01
